anmalningsalternativKod,antagningsomgangKod,titel,organisation,studieort,utbildningsniva,undervisningssprak,studietakt,undervisningstid,undervisningsform,poang,poangEnhet,valdaAmnesNamn,examinaNamn,forkunskapskrav,studieavgiftTotal,studieavgiftDelsumma,kursbeskrivningUrl,distansBeskrivning,program,ar,startvecka,anmalningskod
89740,HT2026,"Senare del, Högskoleingenjör Elkraftteknik 180 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Skellefteå,Grund-avancerad,Svenska,100,Dagtid,Distans,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89740
89756,HT2026,"Senare del, Högskoleingenjör energiteknik, 180 hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89756
60128,HT2026,"Senare del, Högskoleingenjör i byggnadsteknik (ej åk 1)",Linköpings universitet,Norrköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Teknik och teknisk industri | Väg- och vattenbyggnad | Byggnadsteknik | Byggteknik,Högskoleingenjörsexamen,,491000,81900,https://liu.se/utbildning/program/6ibyg,,True,2026,202636,HT2026-LIU-60128
60129,HT2026,"Senare del, Högskoleingenjör i datateknik (ej åk 1)",Linköpings universitet,Linköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Elektronik | Datateknik | Informationsteknik | Teknik och teknisk industri | Dataspelsutveckling | Inbyggda system,Högskoleingenjörsexamen,,491000,81900,https://liu.se/utbildning/program/6idat,,True,2026,202636,HT2026-LIU-60129
60134,HT2026,"Senare del, Högskoleingenjör i elektronik (ej åk 1)",Linköpings universitet,Linköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Elektronik | Medicinsk teknik | Teknik och teknisk industri | Reglerteknik | Elektroteknik | Inbyggda system,Högskoleingenjörsexamen,,491000,81900,https://liu.se/utbildning/program/6ielk,,True,2026,202636,HT2026-LIU-60134
60136,HT2026,"Senare del, Högskoleingenjör i kemisk analysteknik (ej åk 1)",Linköpings universitet,Linköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Analytisk kemi | Oorganisk kemi | Teknik och teknisk industri | Organisk kemi | Kemiteknik | Biokemi | Miljö- och energiteknik,Högskoleingenjörsexamen,,491000,81900,https://liu.se/utbildning/program/6ikea,,True,2026,202636,HT2026-LIU-60136
60137,HT2026,"Senare del, Högskoleingenjör i maskinteknik (ej åk 1)",Linköpings universitet,Linköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Produktutveckling | Maskinteknik | Teknik och teknisk industri | Mekanik | Elektroteknik | Hållfasthetslära | Miljö- och energiteknik,Högskoleingenjörsexamen,,491000,81900,https://liu.se/utbildning/program/6imas,,True,2026,202636,HT2026-LIU-60137
89754,HT2026,"Senare del, Högskoleingenjör Maskinteknik 180 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89754
89741,HT2026,"Senare del, Högskoleingenjör Underhållsteknik 180 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89741
60152,HT2026,"Senare del, Kandidatprogram i biologi (ej åk 1)",Linköpings universitet,Linköping,Grundnivå,Svenska,100,Dagtid,Normal,"120,0",hp,Zoologi | Ekologi | Genetik | Biologi | Molekylärbiologi | Naturvårdsbiologi | Botanik,Kandidatexamen,,489200,81600,https://liu.se/utbildning/program/6kbio,,True,2026,202636,HT2026-LIU-60152
